Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22p,
"EN, GND, OUT, VCC",TestPoint_THTPad_D2.0mm_Drill1.0mm,4,~,
R1,0805,1,1M,
"R2, R3",0805,2,100K,
U1,SO-14_3.9x8.65mm_P1.27mm,1,74HC00,
Y1,Crystal_SMD_HC49-SD_HandSoldering,1,Crystal,
